,title,status,pros,cons,review,rating
14,How googles Free food program help me in my hardest times,Software Engineer(Current Employee),"Free Lunches And Snacks, great work environment",No cons,"I've worked in this company for around 7 years now and I have enjoyed my time here so far. Not only are the staff very nice, but the job also pays well too. One thing that really helped me in this company was the food and snack program. When I graduated from college and just got into the company I was struggling with money. I was unable to afford a plate to eat but after getting into the company I was able to eat due to the free lunches and snacks provided, and keep myself energized which enhanced my working ability. This was really helpful as I was able to get myself back on my feet. Going into my 8th year I now  have a house and am able to support myself.",5.0
15,Good,Software Engineer(Former Employee),,,"Good la, very good, great company, loving it, management good, food good, canteen good, i love to use google alot thats why i work there. Google is the best in the world.",5.0
16,Great place to work,Software Developer(Current Employee),,,"Amazing place to work, love the campuses and free food. Really cool projects to work on and you have a reliable team to get help and support from. Fair place to work.",5.0
17,Amazing company,Technical Program Manager(Former Employee),,,"Loved the time I spent at Google X both as an engineer and TPM. The people are brilliant, the infrastructure for all types of engineering is outstanding, and the pay/benefits are second to none.",5.0
18,Pretty good - get used to working outside of work at times .,Software Developer(Current Employee),,,"Working at Google ensures that all future opportunities within Tech are pretty accessible - but it does come at a cost.Whilst the salary and the office location [London]/WFH model works well, the perks could be better.",4.0
19,It's cool,Software Engineer(Current Employee),"Free Breakfast+Lunch, time off, free gym, Massage Rooms, etc.","Not much, just getting a job here is hella difficult","Fun, work for a bit, but also have time to work out, play ping pong, talk with coworkers, etc during the day. The paid time off is good, so I can visit family and just travel if I need to.",4.0
20,Good,Software Engineer(Current Employee),,,Creative team work alone work know the brand know their tools listen foresee socialise communicate take brakes give feedback don t take gratitude for all be yourself question learn to take no for an answer overall good experience,3.0
22,not bad,Software Engineer(Former Employee),free lunch,Stress,"for a newbie its a good company , good start but there are also some better companies between IT  world, i would suggest trzing it and getting out to th",3.0
23,Google is simply amazing,Software Engineer(Current Employee),"Amazing work culture, cutting edge work, flexibility and independence, awesome food",Your growth in the company directly depends on the efforts you put in,Your growth in the company directly depends on the efforts you put in and results you produce. So always need to be on your toes and continue to work towards challenging goals.,5.0
24,Great work culture,Software Engineer(Former Employee),,,Excellent work culture with good teamwork. Great managers who help you and make sure you’re learning on the job and doing all you can to improve on yourslef,5.0
25,A great place to sell your morals!,Software Engineer(Former Employee),"Free lunches, unlimited sick days, flexible schedule","Pressure to overwork yourself from management, company only cares about profit","From a business perspective, Google is a great employer! The programmers are well compensated, have great benefits, and get to move around within the company to find a place they fit. The employees I worked with were very kind and seemed to actually care about me as a person. However, management has been slowly moving away from what the company used to stand for (doing what was right, valuing employees as individuals, etc) and moving more towards a traditional business (profit-driven). I personally felt like I couldn't continue working and sleep with myself at night.",3.0
26,Productive company,Software Engineer(Current Employee),,,"Great company to work at, really care about the employees. Fun atmosphere. No issues with management or higher ups. Great place to work. Just filling this out to see what others think",5.0
27,Really good place to work,Software Engineer(Current Employee),,,I am excited about going into work every day. I really enjoy the type of people that work here. They're creative and always looking to help you succeed. I would recommend this place to anyone.,5.0
28,Excellent place to coast,Software Engineer(Current Employee),,,"Exceptional WLB, great colleagues, perked-up offices, very competitive compensation. The culture is vibrant and upbeat. Almost non-existent performance expectations. Overall, they go to great lengths to spoil employees.On the other hand, most work feels menial compared to the brainpower they hire. The safety net can prevent you from taking risks and growing.",4.0
29,A good place to learn stuff,Software Engineer(Current Employee),,,Google probably has the best infrastructure in the whole industry and is a great learning opportunity if one is enthusiastic about technology. The compensation and career growth are just mediocre,4.0
30,Great place to learn & grow,Product Manager(Current Employee),,,"I joined Google out of school as a product manager - it was a top place to develop PM fundamentals and learn about multiple industries. The company is huge, and the more senior you get at Google, the more procedural the work becomes. Some people like this - you can definitely coast and have good WLB at Google - but there can be a lack of urgency.",4.0
31,Productive and fun place to work,Software Engineer(Current Employee),Free lunch and dinner,No cons,"Good life work balance. They have good pay. Working environment is nice and fun. Free meals, free coffee, free snacks. Work with most talented people.",5.0
32,Fun and productive place,Programmer(Current Employee),Free dinner,,"Very supportive management, good time frames given to complete tickets. Good team work, rewarding work and salary. Also I get to tell people I worked at Google.",5.0
33,product mgmt,PM Supervisor(Former Employee),,,"ok just very demanding. Not worht it if you value work life balance, can be some what toxic but the pay is GREAT so if you like cash ogo for it ! ppl and manag",5.0
34,Excellent Placce,Programmer/Developer(Former Employee),,,I learned so much with google in the short amount of time I met amazing friends and learned to code to the moon and back. Food great massage great barely had to work.,5.0
35,Productive and great place to work,Software Developer(Current Employee),,,I love working at Google. They are one of the most innovative companies out there. They are consistently promoting employees and give great bonuses and benefits.,5.0
36,Good company,Product Manager(Former Employee),,,Not much to say it's a good company with good pay. The extras the company provides are excellent but can be too much at times. They wish to see you work extra.,4.0
37,"Very fun workplace, higher ups can be rude",Programmer(Current Employee),,,"I work as programmer for Stadia and am quite upset with how google is treating the stadia department, not that they’re being rude but we don’t get paid as much as you would expect after having removed tons of employees.",5.0
38,Yes,Software Developer(Current Employee),,,Great company to work for. Good benefits and good co workers. Lots of room for growth. I was able to succeed here. Working from home is nice as well.,5.0
39,greta company,Software Developer(Former Employee),,,"this a great place to work for, great benefits, good morale, the supervisors are nice and the benefits are great, great vision, health and dental. raise every year. The best Napa Valley wineries offer exceptional wine, plus something more: art or architecture or gardens or great views. Especially if it is your first time visiting, you will want to stop at some of the most iconic and beautiful Napa Valley wine estates, for an unforgettable wine country experience.",5.0
40,great place to work,Software Engineer(Former Employee),good compensation and benefits,hard interviews,"great place to workgood supporti see why its difficult to get hired there but honestly its worth it, hard working employees and great support. always able to work harder and improve your skills.",5.0
41,Productive and fun place to work,Software Engineer(Former Employee),,,"Great job, opportunities for growth are definitely there. Management can be hit or miss. I was lucky to have a a good manager. Love being able to work remotely.",4.0
43,"Great overall, weak mid level management",Senior Software Engineer(Former Employee),"Culture, compensation, smart people, great engineering work",Middle management is terrible in general,"Very good in all aspects. Except L6/L7 managers are mostly weak. Google mixed people management path and IC path. Many manager with over 15 reports are IC and their performance/promotion is based on IC ladder. That means their management performance has little impact on their career! This invited many bad leadership behaviors.Except the above, Google is a wonderful place to work, or perfect, I would say.",5.0
44,Must be part of the machine,Software Engineer(Current Employee),Good for the resume,Everything else,Few people express themselves in any way contrary to the social mores which are extreme national socialist. People are beginning to spy upon each other and report anonymously to management.,1.0
45,Good pay,Software Engineer(Former Employee),Pay,Long hours,Good paying company with excellent health and retirement benefits. Good bonus at the end of the year as long as you perform well. Management could be more engaging.,4.0
46,Fun Work Culture and the People 😃,Software Engineer(Current Employee),Creative Culture,Nothing!,Best Experience of my life ever. Feel very lucky to work here! Best team in the world around. It's my dream which i will surely Achieve 😄 Free lunches for sure!,5.0
47,Great place to work and live,Software Engineer(Former Employee),,,Awesome company for short periods of time then move on from. I recommend this to most engineers to get a base of experience that they can build from and get any job afterwards.,5.0
48,Great experience,Software Engineer Intern (PhD)(Former Employee),"High salary, work life balance, friendly and helpful people, free lunch and many perks",,"Worked at Google as SWE intern for 13 weeks. Great experience there. My host and groupmates offered me a lot of help, but they do not push people much and WLB is good. The salary is great. They have a lot of perks such as living cost coverage, free lunch, shuttle/bike rental, gyms, entertainments, etc. Hope to return!",5.0
49,Very Beautiful place to work,Programmer(Former Employee),,,Work in google is one of the beautiful experience i can do in my entire life.There are a lot of interesting thing to learn and manager respect your time and your personality,5.0
50,Great Culture,SWE Intern(Former Employee),,,I interned at Google as a SWE through the virtual internship program. Felt belonged and grew a lot as a software developer during my time there. The online orientation was well set.,5.0
51,Not that bad tbh,Software Engineer(Former Employee),,,"I enjoy my life, have time for breaks, and it seems like a really good start to my career. I'll see how this changes over time. Nice place to work for if you are starting out.",3.0
52,Productive and fun,Software Engineer(Current Employee),,,"Lots of perks, productive and fun. Lots of learning. 20/80 time. Level 5 position pays well. Cafeteria, gym, laundry and good vacation. Sign up bonus and relocation paid.",5.0
53,Taking care of employees,Software Engineer(Current Employee),"Work life balance, Friendly and supportive managers, Great perks",It's too big.,Google is great. The managers take care of their employees a lot.They emphasis a lot on learning.They always ensure that a new employee always feel comfortable.Work life balance is great here .Every team member is very friendly and helpful.All employees are valued and respected here.,5.0
54,Pretty great,Developer(Current Employee),,,Definitely recommend. Free food and dry cleaning! Only downside is how much they're spying on users... Collecting data.... Its not cool. They should really check themselves.,4.0
55,Amazing work place.,Technical Program Manager(Current Employee),,,Amazing work place. Lot of challenging work to work on. Work life balance needs to be planned. Teams are fun and enjoyable to work with. Lot of interesting work.,4.0
56,"Fun, impactful work",Product Manager(Former Employee),,,"Google is one of the best places to learn about technology and build impactful products reaching many millions of users. ""Nothing is impossible"" is the Google mindset.",5.0
57,Great Company Bad Account Managers,Tech Support(Former Employee),,,Was doing well then the higher ups who was handling our account was caught manipulating statistics. 500 plus employees were forced to look for work. Very traumatic,5.0
58,Great work environment,"PSS SME/ Application Support Engineer, CDI at Google(Current Employee)",,,Lots of support and collaboration across many engaging projects. You are given an opportunity to grow and your ideas are respected. In addition to all this the campus is beautiful.,5.0
59,Solid Employer,Software Engineer(Current Employee),,,"Google is respectful, well funded, and generally a great place to forward your career.Pro: You may get to work on something that can change the world and get paid well for doing it.Con: The company is far too large and opaque for you to make any difference in the company or understand the company as a whole. You will also very likely be forced into a niche where you will learn less and less as time goes on.",3.0
60,Good company,Software Engineer(Current Employee),,,"Google LLC is an American multinational technology company that specializes in Internet-related services and products, which include online advertising technologies, search engine, cloud computing, software, and hardware.",5.0
61,"I'm a powerful, masculine, mgtow type of guy, and even I broke down crying on the datacenter floor",Operations Engineer I(Former Employee),,,"Former Employee - Operations Engineer in Atlanta, GAPositive OutlookNo opinion of CEOI worked at Google (Less than a year)ProsThe people are very nice and smart. the dress is casual. the cubicles are quiet. The food is good. A fun place to work.The security staff is nice, and some will become good friends.ConsThe datacenter never has enough tools.You feel completely alone and it seems that you shouldn't ask questions once you're let loose post-trainig.I broke down crying a few times on the datacenter floor because I couldn't find any answers or documentation from their intranet or from other employees.They want a phd level of intelligence to work for 20$/hr.Atlanta is the neglected ""redheaded stepchild"" data center.Can be somewhat political, but if you don't get involved with or discuss politics anywhere on memegen or on the internal mailing lists or if you're smart enough to be engage in a neutral manner or pretend to side with the ""correct"" politics rather than your own political beliefs, you'll be alright.I sweat a lot, and no one told me that I could bring spill-proof tumblers or clear drink containers on the DC floor!The training was excellent. But safety protocols conflict with the speed that repairs MUST be accomplished. Eg: you must take shortcuts, like not wear globes when doing battery swaps, even if it's not safe. I was probably fired for not wearing gloves during the week that safety inspectors were onsite, however I was never told that they even have gloves or where they were! If you show people unsafe shortcuts, at-more...",3.0
62,blah,Software Engineer (contractor)(Former Employee),,,"None I was a software contractor there twice (GoogleX and Google Pay).  Google doesn't care about contractors.  Contractor job specifications are narrowly defined so don't worry about attending meetings because they don't care what you have to say.  Just do your job, eat, and go home.  You get none of the benefits that regular employees get.  Hourly pay may be equal but no stocks or bonuses obviously.  You don't get to participate in group activities.  Keep in mind you are not one of them, you're a short timer (< 1yr contract).  No prospect for conversion either.  Do it for the money and your resume.  BTW, Google doesn't like it when you say on your resume you worked there even if you are neck deep in a Google project and working/sitting with Google co-workers.  I just add ""contractor at Google"" to my title.",1.0
64,One of the best company I ever worked,Director of Engineering ,,,"If any company I want to work , Google comes as No1 due to the people and technology. Great place to learn and make an impact right from the time you join. People around you take time to answer questions and provide mentors right from the first week.",5.0
65,Worked from home,Student Developer(Former Employee),,,"I worked from home for Google Summer of Code so there is not much to say. Like I told you, I did not work directly with Google. I worked with XWiki through Google. Google was just a host.",5.0
66,Great place to learn.,Web Developer(Former Employee),,,Great place to learn and grown in the world of technology.  Google is probably the most well-known name in technology these days.  To have them on my resume is a plus.,5.0
67,It's big,Senior Sales Data Architect(Former Employee),,,"You get into a right group, it's the best job in the world. But Google is also huge burocracy by now, so some projects are not very exciting and political.",4.0
68,Productive workplace,Developer(Former Employee),Free lunch,Long hours,Productive workplace you learn a lot good for interns helps kickstart your career. Good for your cv its easy to be hired in future.Requires focused person.,5.0
69,Good to do for a few years,Software Engineer(Former Employee),,,It was great and fulfilling to work here for a few years but after that it is wise to move on to higher paying jobs where you can be more effective. Also staying here can get you locked in to their proprietary tools and make it harder for you to start at another company,4.0
70,I am a contractor at google,Software Engineer(Current Employee),,,At Google work is very challenging and interesting. New requirements and there will be number of opportunities to grow in your career.We have a large scope in learning new technologies and improvise our skills.,3.0
71,i gave true answers about myself and work,Workday Application Support(Former Employee),,,I love my work place and some times i felt some difficulties but my manager and  well supported me.. I am about to end with the project and looking for new one.,5.0
72,Super,Python Developer(Former Employee),,,"Learning is the process of acquiring new, or modifying existing, knowledge, behaviors, skills, values, or preferences. The ability to learn is possessed by humans, animals, and some machines; there is also evidence for some kind of learning in certain plants.",5.0
73,Fun company to work,Mobile Developer(Former Employee),,,"Lots smart college to work with and learn. But internal competition is  high as well, when everyone is smart, it will be a fun situation.It's a good place to learn and improve.",5.0
74,productive and very good comapny,Software Analyst(Former Employee),,,"very nice company, I love the culture and people and very nice atmosphere and i will love this thing and follow the adbise of my god and love to be part of it",5.0
75,productive and fun,Product Manager Assistant(Current Employee),free lunches,healthcare,sometimes it is really fun and i really really like it because their salaries are high and long break times. they also have lots of great food. thanks google!,5.0
76,Improvements,Full Stack Software Engineer(Former Employee),,,Manager is supposed to be a manager and not a developer - I don't like to have a meeting and we are actually coding in the long meetings.Other than this I don't like micro management -,2.0
77,Excellent Company,Software Test Engineer ,,,One of the best technology firms in the industry. I highly recommend working there. Life / Work balance is very important to Google and the campus is amazing with innovative ideas and creativity. I loved working with people driven by new ideas and technologies.,5.0
78,Have more opportunities to learn new stuff.,TPM(Current Employee),,,"Overall, it is a great company to work with.  The  true experience will be varied based on your position and your group. Everyone's experience is different.",3.0
79,Diverse with many benefits to make you more comfortable and productive,Senior Quality TPM(Current Employee),,,"Lots of work and long hours, but Google tries to soften the blow with lots of activities, free good food and drinks and a pretty open work schedule.Advancement is difficult, as they are pretty stuffed with middle management, but communication is open, and you can freely talk with all layers of the executive team.",4.0
80,Horrendous Upper Management,Product Manager(Current Employee),,,"Google has become a gigantic companies where every employee is just a number on the books. Management care more about promoting themselves vs. growing talents to achieve org and company goals.The nonstop politics, people push each other under the bus are seen across every team.  In my years I have seen the director who sexually harassed employees still work there, the director whom 13+ people went to HR to seek for help, was being voted as the top women leader of the company, whereas the lower levels individuals would get laid off left and right when projects got cancelled or due to re-org.",1.0
81,It was good,Software Engineer ,,,It was good. Nice and friendly guys. Super intelligent. Very fast paced environment. I enjoyed a lot. You can expect unlimited learning and growth at google.,4.0
82,Realistic project definition and expections.,C++ Programmer (consultant)(Former Employee),,,The company fostered an environment where the projects were well defined and the requirements were clear.The team had realistic expectations for the completion of tasks.,5.0
83,Good one,Developer/Designer/Programmer(Former Employee),,,Nice place to work and can learn there very fast. We should grasp things quickly in a positive manner. They always take advantage of yours if you are a silent type person.,5.0
85,Productive and fun work environment,Software Engineering Intern(Former Employee),"Free lunches, nap pods, bowling alleys, arcades, coffee bars, swimming pools, massages, laundromats, volleyball courts, healthcare",,"This has been one of the most enjoyable companies that I've ever been able to work for. The work that I got to do impacted hundreds of thousands of people. Every single other employee I met at Google was also kind and helpful. I got to finish two projects in the course of a summer largely due to the amount of support I received. Besides that, the work / life balance is phenomenal",5.0
87,Contracting at Google,Test & Automation Engineer : Contractor(Former Employee),,,"I was a contractor at Google for 2 of their project. In my first project I had an excellent experience at Project Loon at Google X Lab. In my second project in Google Network team , the experience was a mixed, it was less exciting than the previous project, might be because of my employer in the second project.",5.0
88,Fun and lots of food,Play Apps/ Payments Technical Support Specialist(Former Employee),,,"It was a great place to work! Except the building had bed bugs. The hours worked for me and it was close to my house, and they give out presents like TVs and XBoxes and PS.",4.0
89,It was great and I would recommend it to everyone,Web developer(Former Employee),,,"It was great working there and it was a great experience and everything was so chilled out, everyone would love such a job, Google loves it's employees and that's why they work so well",5.0
90,fun,Software Development Engineer in Test(Current Employee),,,"Google has everything that an employee would expect from one of the largest companies in the United States in terms of market capitalization: Bicycles and electric cars to get staff to meetings, gaming centers, organic gardens, and eco-friendly furnishings. Google wants to make its employees' lives easier, and it's constantly searching for ways to improve the health, well-being, and morale of its Googlers.",5.0
91,Good,Java Developer(Former Employee),,,Good work experience at that organization with made me improve my skills work terminology and work experience with that organization ...Made me improve my work environment with team.,4.0
92,It is a good company,Software Test Engineer(Former Employee),,,It is a good company.Everything is well managed.Managers are helping in nature.Training provide very well.A fresher can get know about project from the training.,5.0
93,great place to work!!!! Fun environment,Product Manager(Former Employee),,,"productive and fun place to work, enjoyed the culture and people. tasks were challenging and it was nice to work as a team and complete goals as we seen fit.",5.0
94,Zero Life Balance,Cloud Solutions Architect / Technical Program Manager(Current Employee),,,Expect to work 80 - 90 hours a week if you want a decent perf. Management changes frequently and not always in a good way. Job assignments are vague and perf is torture.,2.0
95,Great place to work with smart helpful people,Product Technology Manager Intern(Former Employee),,,- Everyone is super smart and super helpful- Work is ambiguous and it's more of you deciding what you want to work on than being handed tasks- Managers really work towards enabling your career growth and providing the right guidance/feedback/support- There are a lot of opportunities to move around in different teams and functions,4.0
96,Backend Java Engineer,Application Engineer(Current Employee),,,I am dedicated individual and team player who enjoys working as backend developer. Always keen to learn new lessons and stay current on tech stack. I would like if the workplace culture is fun to be at work.,4.0
97,Productive and fun work place with a ping pong table,Software Engineer Intern(Former Employee),,,"Laid back environment but plenty of opportunity to grow -- you're constantly surrounded by bright individuals. Company culture is generally inclusive, felt extremely comfortable working there.",5.0
98,"Great money, solid tech, Stalinist culture",Site Reliability Engineer III(Former Employee),,,"The pay was great--and even better when the pager bonus (which was not mentioned in the offer) is counted.The tech is, as it must be, groundbreaking.  There are more problems with tech debt than might be expected, but resources tend to be thrown at problems before things go critical.  Do note:  on average, the engineers there are merely above average.  Lots of greatness there, but also a lot of embarrassing code.Their promotion of tech leaders to management has a siginficant drawback, in that these two skills are extremely different.  First-level managers especially are very random in their skill.But beware:  Google is even more aggressively liberal internally than externally.  Conservatives keep their heads down, and being outed can lead to unbearable conditions.",4.0
99,Pressured to keep calls short even when the call required a longer period of time to fix the problem.,Technical Support Specialist/ DXC(Former Employee),,,The culture was the best part of the job. I had great co-workers. Employees had a lot of pressure from the supervisors when you were on the phone for longer than they liked even when you needed more time to fix the problem.,3.0
100,It's was my best experience to work at google,Analyst and developer(Former Employee),,,It was one of my best experiences. Working with google was as if we are peacefully traveling in some part of our life..If given a chance I will be glad to join them back.,5.0
101,Challenging Workplace,Android App Developer(Former Employee),,,Will have tasks daily and implemented concepts we learned daily. Everyone would help one another and there was always someone to assist. The working environment was engaging.,4.0
102,Great work culture,Technical Program Manager(Former Employee),,,"Great work culture: lots of smart people trying to solve very hard problems to help customers, but very little arrogance. Very measurement focused. Management is supportive of workers, and mistakes are understood to happen (but not repeatedly, appropriately). The food and office amenities are well publicized and just as great as you would imagine",4.0
104,Excellent place to work.,QA Engineer (Contract)(Former Employee),,,I was a contractor at Google.Very good experience working on multiple projects.Learned a lot from various people and projects.Amazing work place. Nice management.,5.0
106,Great place to work,Technical Support Specialist / CSR ,,,"I thought the management was great.  Very helpful and kind.  I was not happy with giving sick days you could never use.  That was dumb.  Why even offer sick days?  If you use one you get a bad mark and after 3 your out.  Just doesnt sound right.Over all fun place to work.  Not happy with Google for ending the contract.  Alot of great people, dedicated people there.  They were the best of the best and put alot of time making the company successful.",5.0
107,Best Company,Software Development Engineer Intern(Former Employee),,,Best company I have ever interned with.Outstanding employee benefits;Friendly and productive working environment;A dynamic learning place;Minimum exhausting of resources such as unnecessary meetings,5.0
108,Good,Sr. IT QA Analyst ,,,Good place to Work. The management is very cooperative resourceful. They encourage the new concepts and Technology. Flexible at work and timelines. I enjoyed working here,5.0
109,Pampers employees too much to the point of distraction; frontend developer skills will languish,Software Engineer(Former Employee),,,"* Perks are too much really, and I would feel guilty complaining about any of them.  However, I'd much rather give up all my perks for the opportunity to work from home instead.* Was very frustrating from the perspective of an employee of a startup that was acquired.  After getting acquired, all the state-of-the-art competitive software had to be re-written to fit Google's standards: coding style, build tools, and software libraries and protocols.  This felt the opposite of freedom.  Also, it was super hard even getting our first code checked into the monolithic codebase, as no one in the company had ""readability"" in any programming languages.  As such, we had to hire folks from other parts of Google, as well as get ""buddies"" within Google to help review our code.  More handcuffs...* Mostly young workforce, with many from privileged backgrounds, with highly materialistic wants.  ""Smart"" gets thrown around a lot.  There are many smart people, and also many weird characters.  As someone who came in through an acquisition, I increasingly felt that I just didn't belong there, as I'd skipped the entire interview process.* A very stable build system and well-written tech stack, at the cost of severe NIH, overall developmental slowness, and very outdated tech.  No opportunity to code with React.js, a very dominant framework used outside of Google (competing with Angular 2)* Frontend developers are not really taken seriously.  JavaScript is barely tolerated as a ""real language"" and the tech stack and build tools were completely disparate from the real world.",3.0
110,good,Technical Analyst/ Program Manager(Current Employee),,,"Drove  improvements across the business as a result of IT implementations. Equipped SPM’s across the organization with solutions that accelerated their OKR(action based metric) by 40%, providing additional visibility into partner relationship(improving the workflow), and reducing ticket to support by 60%.",4.0
111,Bad Management,Technical Program Manager(Former Employee),,,"The management at Google, at least in the technical area, are ICs that reached their peak technically so they are 'promoted' to manager regardless of skills in leadership, people management, team growth, etc.",2.0
112,Good place to work,Software Engineer Intern(Former Employee),,,"I want to work in Google but this year they don't have enough head count. Although I have finished my internship very well and done best in the onsite interview, I still fail. Hope I can back to Google in the future.",5.0
113,"Good compensation and benefits, the culture isn't what it used to be.",Operations Engineer(Former Employee),,,"The first few years were great. Great culture, my first manager was the best manager I've ever met. The second, one of the worst. I learned a lot from experienced engineers and techs. I had the opportunity to work on many different projects. One of the very first issues I had was I came up with a new platform design, taught myself auto-cad and created a working 3D model. Submitted an official proposal to have it reviewed. Ended up speaking with some of the heads of the design department but they said there were already too many irons in the fire and we'd have to revisit it later. A year later my design was released by someone who came across the public proposal while searching random docs. I mentioned it to my manager and after a few days of back and forth, he basically said ""too bad"".",4.0
114,"Yes, Google has sushi and many perks, but there are big issues.",Test Software Developer(Former Employee),,,"I worked as a contractor at Google X.  Working there was great.  I enjoyed working with the other engineers very much.  Lunch was good.  Everyone was accommodating.  That said, two things stood out as a problem.  Contractors are treated differently in terms of security and processing.  It took weeks to get my credentials figured out so I could use email and to use the build system.  Security is tight there, and slow.  My access to the building took two or more weeks to clear.  I was not able to access all of the code I needed to do my job.The worst part is that contractors are treated as a security risk, so they get no heads up when there services are no longer needed.  Just a simple ""this is your last day.  Clean up your desk, leave your computer, and head out.""  That's it.I assume that this technique limits security risk, but from a personal standpoint, it was not fun.",3.0
115,Great company if you start at level 6 or above,Software Engineering Manager(Current Employee),Best health insurance,,"Great company.Gives employees a lot of freedom,The distributed development is part of everything you do, meaning lots of document writing and at the same time its always possible to work from home.Real smart people.",3.0
116,Nice and smart people,Software Engineering Intern(Former Employee),,,"Supportive and challenging environment, where I met and worked with people from not just my team but other teams and offices. Everyone was very friendly.",5.0
117,New work experience,Professional AdSense Developer(Current Employee),,,Working with mobilities role and take more responsibility and professional manner. With minimum supervision make us to take responsibility with our jobs,5.0
118,Very demanding but rewarding workplace,TECHNICAL PROGRAM MANAGER(Former Employee),,,"With superb dedication, initiative, collaboration, and networking skills, you can succeed and survive at this very demanding workplace.  They look for people with not just their skills but also for their well-roundedness as a person and as an employee.",4.0
119,A good company,"Technical Program Manager, Display Ads(Former Employee)",,,Google is a good companyIt has good work/life balanceI had my benefits from the recruiting companyThe job security was goodThe management was goodThe job culture was good,5.0
120,Relaxed and Collaborative Environment where you'll do your best work yet,Software Engineering Intern(Former Employee),,,"The environment at Google is supportive as they provide a relaxed environment where you can easily focus on getting your job done. Everyone is super helpful and approachable, willing to take time out of their day to help you out. Since it's Google, there is basically any role you would like to explore. The amenities are sometimes beyond your imagination. You basically don't need a kitchen or any sort of entertainment at home because Google provides all of those for free. More importantly, all of these things add up to a place where you can do your best work without any stress or worry.",5.0
121,Collaborative Workplace,Software Engineering Intern(Former Employee),free lunch,small impact,Google is a great place to work as a junior software engineer. There are a lot of resources that are accessible to you. There is a lot of potential for growth as full timers are very willing to meet and talk about their work.,4.0
122,Helpful and creative,Software Engineering Intern(Former Employee),"Free lunches, supportive mentor",,"Flexible working hour. I arrived company at 10 am and leave around 5 pm, as long as the work is done.There is a lot our learning resource inside Google, like programming languages, deep learning, machine learning, etc. I think it is fantastic for an enthusiastic learner. You always can find useful resource to learn.",5.0
123,Good to work there,QA Test Engineer(Current Employee),,,Very friendly environment with supportive management.. Hard to leave the job but personal issues makes me to take the decision.Had very good experience working with google devices and excited to work with different devices which not even released in the market.,5.0
124,"Great people, volatile environment for projects",Android Application Developer on Contract(Former Employee),,,Smartest nicest people I have worked with. I am told this can vary from one group to another. A lot of work is expected and the standards for code clarity and format are very high to pass a code review.,4.0
125,"Relaxed, open workspace open to collaboration",Intern Software Engineer(Former Employee),"Free Breakfast, Lunch and Dinner, free transportation.",Private offices are few and far between.,"My experience at google was overall very good. Even though I was an intern I was treated as if I were a full-time employee. My coworkers were open to helping me with problems I had, and the work was challenging but achievable. The campus is large and had many varied places employee's could eat and relax at. The offices were well lit and fostered collaboration in their open design.",5.0
